generation,scenario,seed,best,median,mean,arrival_ratio
273,Shuttle,23,8.25207,2.74756,2.86323,0.129395
274,Shuttle,23,8.60737,2.71847,2.83416,0.131348
275,Shuttle,23,8.51623,2.70582,2.8941,0.137451
276,Shuttle,23,8.35465,2.71803,2.89778,0.130615
277,Shuttle,23,8.69538,3.04649,2.92263,0.136963
278,Shuttle,23,8.33144,3.23266,3.19303,0.14624
279,Shuttle,23,8.83543,3.15048,3.04264,0.139893
280,Shuttle,23,8.81534,2.94197,2.93323,0.132324
281,Shuttle,23,8.71959,3.20141,3.04606,0.138916
282,Shuttle,23,8.10658,3.17673,3.14771,0.146973
283,Shuttle,23,8.08134,3.13263,3.12023,0.143555
284,Shuttle,23,8.40124,2.94674,2.97183,0.13916
285,Shuttle,23,7.98764,3.13897,3.11677,0.141113
286,Shuttle,23,8.74147,2.60273,2.95653,0.137451
287,Shuttle,23,8.38048,2.87401,2.96274,0.135498
288,Shuttle,23,8.53476,2.89202,2.97436,0.138672
289,Shuttle,23,7.83261,2.77994,2.85948,0.127441
290,Shuttle,23,8.25998,2.74392,2.8495,0.132324
291,Shuttle,23,8.58037,2.937,2.97732,0.138672
292,Shuttle,23,8.15955,2.85807,2.87885,0.134766
293,Shuttle,23,8.7964,3.11614,3.05849,0.138184
294,Shuttle,23,8.56676,3.02393,2.94118,0.133057
295,Shuttle,23,8.95652,2.76515,2.89457,0.13208
296,Shuttle,23,8.4756,2.51954,2.81712,0.121582
297,Shuttle,23,8.7506,2.79956,2.94964,0.131836
298,Shuttle,23,7.87373,2.5242,2.81536,0.116211
299,Shuttle,23,8.03264,2.75173,2.92366,0.128174
